term,df,sumsq,meansq,statistic,p.value,DV
Q65,6,16.76667975645966,2.79444662607661,7.219176648790383,1.717284353305035e-7,Comp1
Residuals,702,271.73480120263787,0.387086611399769,NA,NA,Comp1
Q65,6,10.815463757864077,1.802577292977346,5.663381242273209,9.27189621851651e-6,Comp2
Residuals,702,223.43706092478737,0.3182864115737712,NA,NA,Comp2
Q65,6,16.166309354414608,2.6943848924024345,6.643235037711742,7.560196792046213e-7,Comp3
Residuals,702,284.71944522950685,0.4055832553126878,NA,NA,Comp3
Q65,6,7.9937964850265635,1.332299414171094,4.3184693076600835,2.738969115393704e-4,Comp4
Residuals,702,216.5753932971394,0.30851195626373135,NA,NA,Comp4
Q65,6,6.155635152917242,1.0259391921528735,1.2051190335891269,0.30149284471081433,Comp5
Residuals,702,597.6250418569568,0.8513177234429584,NA,NA,Comp5
Q65,6,7.009131440960011,1.168188573493335,4.0873044988680185,4.8521511991268655e-4,Comp6
Residuals,702,200.63794581965686,0.28580903962914084,NA,NA,Comp6
