Domain,Model,chisq,df,pvalue,cfi,tli,rmsea,srmr
Domain1,Primary_WLSMV,234.438502345681,34,NA,0.984161779913447,0.979037649885444,0.090236415002639,0.0716930230726343
Domain2,Primary_WLSMV,57.775399106717,34,NA,0.998384628708085,0.997862008584231,0.0309713891670109,0.0353820844463766
Domain4,Primary_WLSMV,50.1342210841829,13,NA,0.994573728000811,0.991234483693617,0.0627259392143844,0.0407537134080286
Domain1,Sensitivity_OverlapRemoved,234.438502345681,34,NA,0.984161779913447,0.979037649885444,0.090236415002639,0.0716930230726343
Domain2,Sensitivity_OverlapRemoved,57.775399106717,34,NA,0.998384628708085,0.997862008584231,0.0309713891670109,0.0353820844463766
Domain4,Sensitivity_OverlapRemoved,50.1342210841829,13,NA,0.994573728000811,0.991234483693617,0.0627259392143844,0.0407537134080286
Domain1,Sensitivity_MLR_Centered,522.157348106587,34,0,0.838681344367304,0.786490014603785,0.129359048680315,0.0682473455534439
Domain2,Sensitivity_MLR_Centered,103.296430961794,34,6.51177822774685e-09,0.975137004293898,0.967093093918394,0.0487385193271925,0.0294751431974889
Domain4,Sensitivity_MLR_Centered,84.165468144809,13,1.80389037041095e-12,0.959908949837266,0.935237534352507,0.0799231455543227,0.0324341702387002
