lhs,op,rhs,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,Domain,Model,std_estimate
Need1,~,Comp1,-0.17366448601971884,0.04119944323875551,-4.2152143904788515,2.495410176428514e-5,-0.25441391095078186,-0.09291506108865583,-0.17110346725605588,-0.17110346725605588,Domain1,Primary_WLSMV,-0.17110346725605588
Need2,~,Comp2,-0.20783809539899875,0.04205826416139804,-4.9416707879674435,7.745592411900759e-7,-0.29027077840761056,-0.12540541239038694,-0.20348952455813074,-0.20348952455813074,Domain2,Primary_WLSMV,-0.20348952455813074
Need4,~,Comp4,-0.25976678898549943,0.047979496793135096,-5.414120746315682,6.159059551258395e-8,-0.3538048746963992,-0.16572870327459965,-0.2514224185564153,-0.2514224185564153,Domain4,Primary_WLSMV,-0.2514224185564153
Need1,~,Comp1,-0.17366448601971884,0.04119944323875551,-4.2152143904788515,2.495410176428514e-5,-0.25441391095078186,-0.09291506108865583,-0.17110346725605588,-0.17110346725605588,Domain1,Sensitivity_OverlapRemoved,-0.17110346725605588
Need2,~,Comp2,-0.20783809539899875,0.04205826416139804,-4.9416707879674435,7.745592411900759e-7,-0.29027077840761056,-0.12540541239038694,-0.20348952455813074,-0.20348952455813074,Domain2,Sensitivity_OverlapRemoved,-0.20348952455813074
Need4,~,Comp4,-0.25976678898549943,0.047979496793135096,-5.414120746315682,6.159059551258395e-8,-0.3538048746963992,-0.16572870327459965,-0.2514224185564153,-0.2514224185564153,Domain4,Sensitivity_OverlapRemoved,-0.2514224185564153
Need1,~,Comp1,-0.07809418215905722,0.04790468303177612,-1.6301993295155677,0.103059375597915,-0.17198563559214541,0.01579727127403098,-0.07785712935074644,-0.07785712935074644,Domain1,Sensitivity_MLR_Centered,-0.07785712935074644
Need2,~,Comp2,-0.1742754409080114,0.048299435547427584,-3.608229349531048,3.0829390104081256e-4,-0.26894059505458306,-0.07961028676143973,-0.17168769928341646,-0.17168769928341646,Domain2,Sensitivity_MLR_Centered,-0.17168769928341646
Need4,~,Comp4,-0.23007893963902135,0.05053481429516996,-4.5528798878165055,5.291648831784457e-6,-0.3291253556229743,-0.13103252365506837,-0.22422075688246698,-0.22422075688246698,Domain4,Sensitivity_MLR_Centered,-0.22422075688246698
