Domain,term,df,sumsq,meansq,statistic,p.value
Comp1: Fostering Effective Relationships,Year,3,1.5894174200923414,0.5298058066974471,1.2265665877800922,0.2983423320000156
Comp1: Fostering Effective Relationships,Residuals,4000,1727.7685923479096,0.4319421480869774,NA,NA
Comp2: Engaging in Career-Long Learning,Year,3,3.4076916972545406,1.1358972324181802,3.1856709224895945,0.022838726844447026
Comp2: Engaging in Career-Long Learning,Residuals,3995,1424.4752687651317,0.35656452284483897,NA,NA
Comp3: Professional Body of Knowledge,Year,3,1.0967133205598372,0.36557110685327904,0.8263390453421682,0.47917856397601666
Comp3: Professional Body of Knowledge,Residuals,3993,1766.4969819509183,0.44239844276256407,NA,NA
Comp4: Inclusive Environments,Year,3,9.004511131372324,3.0015037104574414,9.041605673924092,5.784944113089965e-6
Comp4: Inclusive Environments,Residuals,3987,1323.5475782920419,0.3319657833689596,NA,NA
Comp5: FNMI Knowledge,Year,3,53.700337744129804,17.9001125813766,19.19791794704906,2.3432887912720546e-12
Comp5: FNMI Knowledge,Residuals,3976,3707.216991959961,0.932398639828964,NA,NA
Comp6: Legal Frameworks & Policies,Year,3,26.95606713024446,8.985355710081487,24.825630430447784,6.556207701808231e-16
Comp6: Legal Frameworks & Policies,Residuals,3982,1441.239791987797,0.3619386720210439,NA,NA
